"","ADDRESS","METERID","ENERGY","Year","Month","Day_Month","Day_Year","Week_Day","Volume.m3.","Hours","Power.kW.","Flow.l.h.","Flow.T.ºC.","Return.T.ºC.","DHW.Flow.ºC.","SH.Flow.T.ºC.","SH.Ret.T.ºC.","Temperature","Wind.speed","Wind.direction","Irradiation.flux","Regresion_UV","Regresion_MV"
"16","Kummeli  15",10045,6486,2019,1,16,16,"WED",833.66,4910,24.6,746,72.11875,44.3183333333333,58.8525,50.1654166666667,39.4708333333333,-4.64816343761806,3.97441606542014,263.978252771528,418.753003370583,31.8109658132135,31.6183349509233
"19","Kummeli  15",10045,6558,2019,1,19,19,"SAT",916.62,4982,13.4,618,72.6279166666667,44.3116666666667,59.4908333333333,48.21875,37.9829166666667,-4.67337742960417,4.23289900510069,261.3768361,400.806088662,31.8379913005661,31.6928993616547
"29","Kummeli  15",10045,6798,2019,1,29,29,"TUE",1195.61,5222,31.1,778,76.8058333333333,43.37875,59.7608333333333,49.4083333333333,38.55125,-6.86856518463195,3.26361694795486,148.087158234861,365.020749903,34.190891981382,34.5316457438417
"42","Kummeli  15",10045,7110,2019,2,11,42,"MON",1549.67,5534,7.8,535,70.28625,45.8304166666667,59.7525,45.8058333333333,37.4379166666667,0.976586286458333,2.42297207850695,160.695759799653,250.330255976333,25.7821068124805,25.4648029618719
"50","Kummeli  15",10045,7302,2019,2,19,50,"TUE",1754.91,5726,29.7,970,70.17375,43.6470833333333,59.8495833333333,43.5825,35.9654166666667,2.49840050363889,4.79840678299653,243.354753383681,534.724238978083,24.1509580875123,23.8052725455878
"56","Kummeli  15",10045,7446,2019,2,25,56,"MON",1911.33,5870,30.6,975,74.395,42.77625,60.2208333333333,42.51125,34.9541666666667,3.1543089020625,5.20989544721875,289.420077478125,2267.60701286975,23.4479260513373,23.3834141728521
"60","Kummeli  15",10045,7542,2019,3,1,60,"FRI",1999.19,5966,34.6,1091,72.9083333333333,44.0754166666667,58.68125,50.1208333333333,39.9208333333333,-5.27757281231944,4.78836743129514,101.267070161778,1834.62057055117,32.4855950073928,33.5768674162417
"63","Kummeli  15",10045,7614,2019,3,4,63,"MON",2079.4,6038,34.9,1130,71.60125,43.82875,59.2758333333333,47.4516666666667,38.4329166666667,-2.20802233841667,2.55272686952083,104.973595714493,1012.22011899717,29.1955131529808,29.537452664456
"66","Kummeli  15",10045,7686,2019,3,7,66,"THU",2156.8,6110,35.2,1140,71.14125,43.4525,59.3033333333333,46.475,37.61625,-0.345299455538195,3.46357024594792,180.061969971528,1026.38298269533,27.1989632317917,27.2338636378427
"69","Kummeli  15",10045,7758,2019,3,10,69,"SUN",2230.15,6182,30.1,1023,69.9620833333333,44.0808333333333,60.2895833333333,44.2625,36.2641666666667,1.47710530814931,3.71255534445139,248.100122320833,1048.60385758675,25.2456280788503,24.9101796987523
