"","ADDRESS","METERID","ENERGY","Year","Month","Day_Month","Day_Year","Week_Day","Volume.m3.","Hours","Power.kW.","Flow.l.h.","Flow.T.ºC.","Return.T.ºC.","DHW.Flow.ºC.","SH.Flow.T.ºC.","SH.Ret.T.ºC.","Temperature","Wind.speed","Wind.direction","Irradiation.flux"
"341","Kummeli  15",10045,5665,2019,12,7,341,"SAT",7827.99,12710,29.1,1097,68.0925,43.83,59.7054166666667,44.3629166666667,36.3,3.21941128546528,5.55910738840278,224.468629782292,132.927492380583
"325","Kummeli  15",10045,5258,2019,11,21,325,"THU",7388.59,12326,25,1055,66.9129166666667,44.9645833333333,60.1004166666667,43.2091666666667,35.9508333333333,3.40923264982986,2.92151536550694,159.981033387847,286.978421680083
"95","Kummeli  15",10045,8381,2019,4,5,95,"FRI",2827.91,6805,23.2,791,68.68125,47.01625,60.14875,36.825,32.0833333333333,7.85670448035069,2.96275528515278,134.685765095694,4909.68259885942
"209","Kummeli  15",10045,2368,2019,7,28,209,"SUN",5095.98,9541,3.5,1299,60.0660869565217,55.7926086956522,57.5947826086957,26.4734782608696,38.5352173913044,24.3793912752174,2.39624646352899,139.362640248457,5406.9383913725
"329","Kummeli  15",10045,5354,2019,11,25,329,"MON",7504.14,12422,35.6,1271,69.91125,44.8841666666667,59.875,49.6075,39.7629166666667,-5.13699597514236,1.64283647639583,159.999671851042,741.85904558225
"327","Kummeli  15",10045,5306,2019,11,23,327,"SAT",7443.33,12374,33.9,1385,69.88,45.2558333333333,60.21875,50.165,40.26,-4.32728746477778,2.75216621708333,140.988901017708,613.353049066834
"246","Kummeli  15",10045,3256,2019,9,3,246,"TUE",5799.86,10429,4.7,810,63.87625,56.0854166666667,59.1025,26.0029166666667,38.6554166666667,14.6565867770833,2.46491597907292,255.543191345486,1497.05940616375
"128","Kummeli  15",10045,414,2019,5,8,128,"WED",3444.34,7597,22.2,770,67.9779166666667,46.4908333333333,59.17,38.1620833333333,33.59625,7.93583294856597,2.90681720238195,241.773035319323,6344.92172053308
"131","Kummeli  15",10045,486,2019,5,11,131,"SAT",3496.88,7669,17.4,688,68.3183333333333,46.1891666666667,59.6983333333333,37.4016666666667,33.0720833333333,9.37245014865278,2.97195694785069,209.232655007601,972.71917934725
"300","Kummeli  15",10045,4609,2019,10,27,300,"SUN",6797.35,11725,17,826,65.73375,46.2641666666667,59.4066666666667,41.1220833333333,35.5808333333333,7.44967810038194,5.65472816534722,232.98543609059,355.083237135917
"9","Kummeli  15",10045,6318,2019,1,9,9,"WED",628.22,4742,26.7,898,72.7741666666667,44.85,59.9225,50.51125,39.7283333333333,-4.8589870339375,1.79798345101736,210.902892586111,179.840023581417
"244","Kummeli  15",10045,3208,2019,9,1,244,"SUN",5769.74,10381,4.5,796,64.4791666666667,56.3258333333333,59.34375,26.0066666666667,38.415,18.8206128788194,1.84515927927431,174.295672021201,5152.72424776983
"159","Kummeli  15",10045,1158,2019,6,8,159,"SAT",3978.09,8341,3.9,1329,58.56,55.1895833333333,56.6483333333333,25.5833333333333,37.2691666666667,24.8765069132639,3.20162019612847,190.217267061111,7119.785380202
"328","Kummeli  15",10045,5330,2019,11,24,328,"SUN",7473.64,12398,36.6,1297,70.1808333333333,45.1870833333333,60.01,50.4625,40.4379166666667,-5.06641962734028,2.40411688241319,123.470821870868,635.914316036583
"363","Kummeli  15",10045,6243,2019,12,29,363,"SUN",8487.25,13238,31.5,1333,65.505,45.25125,59.6358333333333,47.8020833333333,38.03625,-2.48491775434375,4.14273308939236,238.413266970517,495.667080367751
"59","Kummeli  15",10045,7518,2019,2,28,59,"THU",1975.69,5942,32.9,1019,70.6625,42.6641666666667,57.9729166666667,45.4670833333333,37.1383333333333,1.17671112885764,4.84951178140278,236.814518706569,1405.49051427608
"14","Kummeli  15",10045,6438,2019,1,14,14,"MON",778.95,4862,27.1,973,70.5725,44.13,59.7554166666667,45.385,36.6920833333333,-0.676796420670138,2.63339269512847,222.922105369097,309.326002671917
"204","Kummeli  15",10045,2248,2019,7,23,204,"TUE",4986.92,9421,4.7,643,63.067,56.2005,58.6465,25.767,38.452,21.6296551212917,1.72317276500833,175.56545708595,5859.49457724067
"97","Kummeli  15",10045,8429,2019,4,7,97,"SUN",2866.67,6853,21.6,736,68.19375,45.3341666666667,59.0429166666667,38.28625,33.13,7.97871669018403,2.96571708972917,146.499819065972,4236.83821653558
"45","Kummeli  15",10045,7182,2019,2,14,45,"THU",1626.82,5606,19.2,652,70.9466666666667,44.5770833333333,59.885,46.3270833333333,37.59625,0.927269545305555,4.2961947636875,271.26677459618,1122.39890199325
"353","Kummeli  15",10045,5976,2019,12,19,353,"THU",8136.02,12998,20.7,1108,64.2520833333333,46.2745833333333,59.6975,36.7158333333333,30.8916666666667,1.65024778772917,5.78952711193056,274.736540579514,440.042527232833
"240","Kummeli  15",10045,3112,2019,8,28,240,"WED",5707.4,10285,5.9,965,63.6875,56.0516666666667,59.0445833333333,25.9625,38.3425,19.7121639133333,2.17559018761458,137.349832943056,5266.59642679125
"117","Kummeli  15",10045,150,2019,4,27,117,"SAT",3251.17,7333,10.8,775,64.47,52.0029166666667,59.00625,30.2479166666667,28.71,17.2944836253472,2.61161173984722,68.281480851059,5281.70471460183
